中国	60990
发展	49173
经济	49038
社会	37348
工作	35839
国家	34991
企业	34884
人民	31209
建设	30985
一个	29393
我们	28141
问题	25816
国际	25514
记者	24890
全国	22810
政府	21942
市场	21544
北京	20327
主义	19838
他们	19443
领导	19379
公司	18935
进行	18631
生产	17821
关系	17736
精神	17513
文化	17026
技术	16967
教育	16939
世界	16720
地区	16626
新华	16596
管理	16429
华社	16131
合作	15555
政治	15536
我国	15367
中央	15038
重要	15007
组织	14976
改革	14482
科技	14452
美国	14401
群众	14396
干部	14251
方面	14076
会主	13958
会议	13746
活动	13554
加强	13374
今天	13352
代表	12969
自己	12945
文明	12858
提高	12686
同志	12665
部门	12573
委员	12468
没有	12306
农业	12253
服务	12229
生活	12107
农民	11857
了一	11750
研究	11747
国人	11455
第一	11364
一些	11291
有关	10981
主席	10952
产品	10926
联合	10916
工程	10888
要求	10772
今年	10669
通过	10490
思想	10046
历史	9942
香港	9925
实现	9912
科学	9615
举行	9570
报道	9552
建立	9494
农村	9481
同时	9427
积极	9238
年来	9230
解决	9191
这个	9175
民族	9158
表示	9102
情况	9096
就是	8949
人员	8929
目前	8876
一步	8838
成为	8827
提出	8826
开发	8787
的人	8745
这些	8595
主要	8568
可以	8555
认为	8555
基础	8555
作为	8542
参加	8534
计划	8399
增长	8331
环境	8276
去年	8227
政策	8194
总理	8177
投资	8133
总统	8103
经营	8094
坚持	8071
人们	7957
基本	7953
日本	7936
现代	7877
法律	7823
特别	7790
职工	7787
必须	7769
进一	7765
取得	7742
单位	7736
国务	7664
学习	7663
努力	7573
需要	7545
水平	7539
书记	7513
有的	7478
希望	7474
作用	7470
事业	7419
艺术	7389
工业	7326
党的	7316
开展	7303
不能	7286
和平	7262
项目	7240
国有	7201
地方	7180
开始	7066
共同	7021
以来	7015
制度	6969
城市	6939
现在	6933
规定	6920
支持	6890
有一	6888
促进	6875
泽民	6860
许多	6811
江泽	6765
这样	6748
学生	6732
神文	6698
好的	6664
资金	6618
保护	6610
员会	6577
理论	6569
决定	6551
体育	6511
目标	6505
增加	6496
务院	6489
部分	6467
一次	6451
指出	6448
条件	6448
的是	6416
中心	6386
部长	6384
上海	6374
实施	6357
时间	6356
第二	6312
的基	6303
开放	6288
产业	6281
提供	6275
稳定	6247
以及	6222
质量	6213
大会	6204
出版	6203
集团	6199
行政	6168
部队	6148
为了	6142
新闻	6141
继续	6106
不断	6079
和国	6049
机关	6037
家的	6032
国内	6001
统一	5997
具有	5964
革命	5961
青年	5944
访问	5911
一种	5891
重点	5872
合国	5836
影响	5812
民主	5771
得到	5699
起来	5688
由于	5676
委会	5674
大学	5674
世纪	5647
银行	5637
已经	5623
什么	5614
效益	5612
资源	5592
收入	5589
友好	5577
个人	5576
发生	5576
实行	5553
双方	5546
劳动	5537
其中	5526
形成	5522
实际	5498
比赛	5490
定的	5483
学校	5469
不仅	5457
关于	5439
贸易	5438
这里	5424
措施	5404
责任	5396
根据	5380
发挥	5374
任务	5304
强调	5279
电视	5271
不是	5258
安全	5239
全面	5203
广大	5185
会见	5181
出现	5181
传统	5145
也是	5124
中华	5110
重视	5103
先进	5102
利用	5087
结合	5051
各级	5047
利益	5047
创造	5027
负责	5014
美元	5012
采取	4975
方式	4974
作出	4950
经验	4933
系统	4914
一定	4906
机构	4867
宣传	4855
之间	4851
面的	4786
十分	4750
达到	4739
国民	4699
正在	4685
严重	4677
重大	4676
原则	4667
以上	4651
受到	4636
各种	4614
困难	4595
运动	4584
专家	4561
各地	4560
报告	4550
只有	4549
第三	4542
可能	4530
监督	4520
保证	4518
体制	4508
素质	4504
共产	4501
充分	4500
其他	4488
而且	4480
人大	4478
台湾	4477
不同	4473
经过	4466
完成	4463
期间	4463
了解	4459
代化	4459
成功	4447
保持	4434
李鹏	4433
规模	4426
孩子	4400
得了	4390
领域	4385
如果	4381
调查	4379
战略	4373
使用	4369
能力	4333
成立	4333
投入	4298
贫困	4295
信息	4282
认真	4273
的时	4259
别是	4258
粮食	4248
推动	4240
的地	4238
一年	4222
进入	4208
深入	4186
罗斯	4169
作品	4169
因此	4160
二十	4145
竞争	4135
贡献	4134
知识	4133
公安	4125
成果	4121
在一	4104
包括	4095
介绍	4079
存在	4076
行为	4073
优势	4054
看到	4053
主任	4052
获得	4040
实践	4034
过去	4014
行动	4012
财政	3992
消费	3990
党员	3984
人才	3980
特色	3976
俄罗	3956
发现	3954
还有	3951
综合	3941
处理	3921
召开	3920
祖国	3906
因为	3894
队伍	3889
根本	3888
意义	3871
力量	3865
作者	3863
道德	3860
还是	3852
导人	3852
发表	3843
产党	3819
几年	3815
行业	3812
时期	3804
多的	3797
儿童	3796
解放	3792
共和	3784
转变	3775
外交	3772
党委	3763
人口	3761
家庭	3758
斯坦	3750
标准	3734
汽车	3734
犯罪	3721
帮助	3708
认识	3699
分别	3691
优秀	3684
长期	3673
中共	3672
正确	3671
出口	3665
目的	3658
法国	3656
扩大	3656
形势	3640
执行	3631
年代	3629
文艺	3618
过程	3617
内容	3611
结束	3610
落实	3596
不可	3591
有效	3581
良好	3579
乡镇	3572
制定	3553
形式	3546
常委	3543
指导	3539
土地	3539
成绩	3537
欧洲	3534
但是	3533
一条	3530
自然	3524
造成	3521
不少	3518
健康	3513
对于	3513
协议	3511
产生	3509
方针	3509
英国	3504
价值	3500
结构	3494
一起	3492
如何	3487
机制	3481
也不	3462
国国	3459
读者	3443
最大	3442
检查	3437
在国	3436
应该	3427
军事	3414
讲话	3414
之一	3404
资产	3391
维护	3391
卫生	3387
简讯	3374
先后	3370
电话	3370
交流	3363
正式	3356
意识	3349
才能	3329
时代	3329
多年	3316
意见	3311
应当	3309
纪念	3304
欢迎	3300
接受	3290
来自	3287
高度	3286
红军	3282
商品	3282
基层	3274
全部	3271
组成	3266
大家	3263
奥运	3263
小平	3261
自治	3256
斗争	3252
办法	3248
日前	3240
反映	3240
任何	3230
最近	3227
贯彻	3226
系列	3214
培养	3203
近年	3203
公里	3199
经贸	3199
所有	3195
副主	3193
进步	3191
直接	3183
原因	3182
首先	3181
有利	3171
创作	3167
举办	3162
大力	3161
各国	3146
销售	3139
展中	3134
出席	3129
集中	3125
价格	3116
工人	3115
加快	3109
有限	3108
基地	3106
关部	3105
现象	3102
运会	3101
调整	3095
集体	3095
交通	3091
非洲	3090
培训	3069
图片	3065
结果	3064
亚洲	3062
增强	3057
按照	3052
铁路	3049
变化	3048
面积	3045
具体	3040
最后	3021
小学	3012
成员	3012
邓小	3006
文学	2999
表现	2984
职业	2984
讨论	2981
参与	2975
九五	2969
统计	2956
公斤	2949
专业	2948
团结	2943
地位	2942
联系	2940
战争	2934
医院	2915
委书	2907
一直	2907
德国	2902
建议	2901
真正	2894
长的	2879
关键	2878
表团	2874
当地	2866
反对	2853
比较	2852
为主	2842
规范	2839
相互	2834
以色	2833
为中	2831
扶贫	2830
关心	2826
设备	2823
色列	2822
金融	2818
很大	2806
非常	2798
改善	2795
对外	2791
宣布	2783
突出	2782
广泛	2776
巨大	2772
当前	2767
拉克	2754
党中	2754
甚至	2738
观念	2725
控制	2719
周年	2718
生命	2715
是不	2714
国外	2707
个月	2703
演出	2702
副总	2697
明确	2692
军队	2688
治理	2686
时候	2683
山东	2682
形象	2681
人士	2681
保障	2680
奋斗	2675
大量	2675
严格	2674
一切	2673
长征	2672
阶段	2669
动员	2667
随着	2664
韩国	2664
然而	2664
少年	2658
之后	2647
先生	2646
共中	2643
为一	2639
有人	2638
音乐	2638
利亚	2636
学院	2634
引起	2631
建筑	2629
最高	2626
工商	2621
为人	2620
虽然	2613
推进	2603
电影	2598
规划	2588
协会	2588
持续	2584
政协	2583
下午	2579
各项	2579
利于	2571
业务	2571
今后	2570
道路	2562
广东	2560
法院	2560
体系	2538
河北	2530
改造	2526
办公	2526
一方	2523
丰富	2517
京市	2517
华人	2515
尼亚	2514
设施	2513
有些	2509
业生	2508
逐步	2508
全市	2500
完善	2497
艰苦	2491
贷款	2484
十四	2478
改变	2476
完全	2473
分子	2473
居民	2473
案件	2470
更加	2466
准备	2465
感到	2458
日报	2457
加工	2457
设计	2456
来到	2456
秘书	2453
推广	2451
或者	2451
能够	2446
天津	2443
合理	2440
基金	2440
切实	2436
大型	2416
带来	2416
适应	2415
人类	2411
进程	2410
谈判	2407
方法	2406
法制	2403
全会	2402
现实	2396
恢复	2396
明显	2396
首都	2394
公路	2392
科研	2385
市委	2381
旅游	2378
发达	2375
河南	2374
毛泽	2371
体现	2370
国防	2369
出来	2362
整个	2355
两岸	2354
一是	2353
繁荣	2351
选手	2348
泽东	2338
教师	2338
胜利	2336
江苏	2336
朋友	2335
不得	2330
计算	2330
座谈	2326
十一	2324
平均	2315
不会	2312
发言	2312
范围	2305
人生	2303
著名	2302
观众	2302
令人	2301
限公	2284
批准	2280
一天	2275
一点	2264
连续	2263
协调	2262
议会	2261
超过	2260
近日	2259
三个	2259
爱国	2257
保险	2253
一家	2249
外国	2246
会谈	2245
一样	2244
减少	2242
采访	2238
另一	2236
污染	2232
上午	2230
费者	2230
小时	2229
大利	2220
及时	2218
考察	2215
商业	2214
第四	2214
所以	2213
石油	2213
老人	2205
一大	2203
给予	2202
副刊	2197
面对	2197
内外	2195
确定	2185
南省	2184
欧盟	2178
当时	2174
图书	2170
迅速	2170
符合	2168
选择	2167
未来	2165
多种	2161
指挥	2159
分析	2155
坚决	2153
注意	2145
民共	2142
自身	2141
天下	2141
来越	2139
安排	2139
治区	2132
成就	2130
越来	2127
不到	2125
水利	2125
民经	2118
电子	2113
武装	2110
外长	2107
探索	2104
医疗	2104
来说	2101
签署	2100
选举	2095
加大	2093
如今	2092
普遍	2091
万吨	2086
强烈	2086
阿拉	2085
西方	2084
程度	2083
谈会	2080
方向	2078
我的	2077
状况	2076
小组	2074
建成	2073
表明	2071
伟大	2063
的特	2057
国主	2057
治安	2055
和政	2052
从而	2051
高兴	2051
一致	2050
多次	2040
资料	2040
多数	2033
做到	2032
独立	2030
训练	2024
大使	2016
引导	2014
万多	2013
特点	2009
物质	2009
力度	2007
面临	2005
因素	2004
妇女	2004
相当	2002
三十	1995
不久	1993
乔石	1990
只要	1987
突破	1980
一般	1978
路线	1962
而是	1961
损失	1961
经常	1958
如此	1951
依靠	1948
一九	1948
西部	1946
济体	1943
经理	1943
关注	1941
村经	1938
好合	1938
以后	1936
邀请	1935
执法	1934
平方	1933
足球	1931
用于	1930
发行	1930
义务	1928
决策	1927
马克	1924
友谊	1924
冠军	1921
省委	1921
各个	1920
网络	1919
业化	1912
始终	1906
手段	1901
产量	1900
尤其	1899
下降	1895
方米	1895
矛盾	1892
机会	1890
一系	1890
首次	1889
学家	1888
难以	1887
负担	1886
责人	1886
拥有	1885
中东	1882
打击	1882
公开	1881
事务	1880
国大	1876
年轻	1872
合同	1871
正是	1870
蒙古	1868
热情	1864
发出	1861
进展	1859
树立	1855
人物	1854
左右	1852
西藏	1852
事件	1851
当年	1851
那么	1849
速度	1849
法规	1848
食品	1847
民政	1844
尽管	1842
那些	1841
教授	1840
顺利	1833
高级	1833
为此	1831
英雄	1827
材料	1826
告诉	1825
决议	1824
开幕	1823
仪式	1820
普通	1820
运输	1818
战士	1817
检察	1817
研讨	1814
书长	1813
必要	1812
针对	1811
自由	1807
奉献	1804
中有	1796
山区	1789
广州	1789
广告	1786
四川	1784
广播	1781
十二	1780
来信	1779
设立	1779
各界	1778
个中	1777
算机	1775
特殊	1775
相信	1767
立场	1767
伊拉	1765
再次	1765
不足	1763
全体	1763
至今	1762
市政	1761
需求	1760
少数	1758
官兵	1753
有力	1753
版社	1752
说明	1749
航空	1749
引进	1748
浙江	1745
实力	1744
武器	1744
东西	1741
终于	1741
收费	1735
毕业	1735
员长	1732
十五	1731
在此	1730
预算	1729
深刻	1728
自觉	1721
秩序	1721
其琛	1720
钱其	1719
密切	1719
出发	1717
总结	1715
知道	1713
多少	1709
正常	1709
有所	1705
北省	1704
大多	1704
理解	1703
故事	1701
学术	1699
南京	1699
整体	1698
只是	1697
飞机	1693
在于	1692
以下	1691
致富	1690
走向	1684
勒斯	1682
东省	1675
成本	1674
主持	1671
学者	1670
名牌	1669
制造	1669
证明	1667
耕地	1667
支部	1664
这就	1664
百分	1659
核心	1659
联邦	1658
态度	1657
进口	1657
辽宁	1657
平等	1656
主动	1654
国各	1653
机场	1653
事实	1650
而不	1649
一体	1648
追求	1648
战斗	1647
人权	1641
放军	1640
湖南	1639
专门	1637
承诺	1634
岗位	1632
动力	1631
内部	1629
资本	1629
参观	1625
文章	1623
通知	1621
深化	1620
电脑	1619
成效	1616
教学	1615
一行	1614
交部	1612
民生	1608
担任	1608
联盟	1607
立法	1606
从事	1602
鼓励	1597
下来	1595
湖北	1595
各类	1591
就业	1587
克思	1580
文件	1578
立即	1578
坚定	1577
